filename, language, JSON, Properties, JavaScript, Markdown, Dockerfile, TypeScript, HTML, CSS, Less, comment, blank, total
.editorconfig, Properties, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
CHANGELOG.md, Markdown, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
README.md, Markdown, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 18, 80
angular.json, JSON, 27, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 128
docker\Dockerfile, Dockerfile, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 10
docker\default.conf, Properties, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 9, 26
docker\nginx.conf, Properties, 0, 17, 0, 0, 0, 0, 0, 0, 0, 40, 23, 80
e2e\protractor.conf.js, JavaScript, 0, 0, 24, 0, 0, 0, 0, 0, 0, 6, 2, 32
e2e\src\app.e2e-spec.ts, TypeScript, 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 5, 24
e2e\src\app.po.ts, TypeScript, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
e2e\tsconfig.e2e.json, JSON, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
e2e\tsconfig.json, JSON, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
karma.conf.js, JavaScript, 0, 0, 29, 0, 0, 0, 0, 0, 0, 2, 2, 33
package-lock.json, JSON, 10652, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10653
package.json, JSON, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
src\.VSCodeCounter\details.md, Markdown, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 6, 104
src\.VSCodeCounter\results.md, Markdown, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 7, 43
src\app\Formatter\format.ts, TypeScript, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
