Date : 2019-09-09 00:10:19
Directory : d:\SJTU-jiaojiao\admin-frontend
Total : 112 files,  16102 codes, 474 comments, 592 blanks, all 17168 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         12 |     10,954 |        104 |          8 |     11,066 |
| TypeScript |         60 |      3,415 |        165 |        334 |      3,914 |
| HTML       |         14 |        668 |         40 |         47 |        755 |
| CSS        |         14 |        365 |          1 |         51 |        417 |
| Less       |          1 |        360 |        113 |         71 |        544 |
| Markdown   |          4 |        209 |          0 |         35 |        244 |
| JavaScript |          3 |         82 |         10 |          6 |         98 |
| Properties |          3 |         44 |         41 |         35 |        120 |
| Dockerfile |          1 |          5 |          0 |          5 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                       |        112 |     16,102 |        474 |        592 |     17,168 |
| src                                                     |         93 |      4,988 |        323 |        512 |      5,823 |
| src\app                                                 |         79 |      4,377 |        134 |        401 |      4,912 |
| src\app\info-statistic                                  |          4 |        798 |          1 |         30 |        829 |
| src\app\info                                            |         14 |        745 |         19 |         69 |        833 |
| src\app\infodetail                                      |          4 |        372 |          2 |         24 |        398 |
| src\app\userdetail                                      |          4 |        341 |          1 |         29 |        371 |
| src\app\info\sell-info                                  |          4 |        248 |          1 |         24 |        273 |
| src\app\info\buy-info                                   |          4 |        247 |          1 |         24 |        272 |
| src\app\user                                            |          4 |        246 |          8 |         21 |        275 |
| src\app\activity                                        |          4 |        232 |          1 |         15 |        248 |
| src\app\dashboard                                       |          4 |        215 |          1 |         18 |        234 |
| src\app\website                                         |          4 |        160 |          3 |         19 |        182 |
| src\app\login                                           |          4 |        140 |         26 |         18 |        184 |
| src\.VSCodeCounter                                      |          2 |        134 |          0 |         13 |        147 |
| src\app\activitydetail                                  |          4 |        110 |          1 |         12 |        123 |
| src\app\callback                                        |          2 |        102 |          0 |          9 |        111 |
| e2e                                                     |          5 |         77 |          7 |         11 |         95 |
| src\app\entity                                          |          4 |         62 |          0 |          4 |         66 |
| docker                                                  |          3 |         39 |         40 |         37 |        116 |
| e2e\src                                                 |          2 |         27 |          1 |          8 |         36 |
| src\app\Formatter                                       |          1 |         15 |          0 |          1 |         16 |
| src\environments                                        |          2 |          6 |         11 |          4 |         21 |
+---------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------+------------+------------+------------+------------+------------+
