filename, language, HTML, TypeScript, JavaScript, CSS, JSON, Less, comment, blank, total
app\Formatter\format.ts, TypeScript, 0, 15, 0, 0, 0, 0, 0, 1, 16
app\activity.service.spec.ts, TypeScript, 0, 9, 0, 0, 0, 0, 0, 4, 13
app\activity.service.ts, TypeScript, 0, 50, 0, 0, 0, 0, 10, 9, 69
app\activity\activity.component.css, CSS, 0, 0, 0, 38, 0, 0, 0, 5, 43
app\activity\activity.component.html, HTML, 72, 0, 0, 0, 0, 0, 0, 2, 74
app\activity\activity.component.spec.ts, TypeScript, 0, 70, 0, 0, 0, 0, 1, 7, 78
app\activity\activity.component.ts, TypeScript, 0, 54, 0, 0, 0, 0, 0, 2, 56
app\activitydetail\activitydetail.component.css, CSS, 0, 0, 0, 38, 0, 0, 0, 5, 43
app\activitydetail\activitydetail.component.html, HTML, 65, 0, 0, 0, 0, 0, 0, 0, 65
app\activitydetail\activitydetail.component.spec.ts, TypeScript, 0, 72, 0, 0, 0, 0, 1, 7, 80
app\activitydetail\activitydetail.component.ts, TypeScript, 0, 36, 0, 0, 0, 0, 0, 5, 41
app\app-routing.module.ts, TypeScript, 0, 31, 0, 0, 0, 0, 0, 3, 34
app\app.component.css, CSS, 0, 0, 0, 23, 0, 0, 0, 2, 25
app\app.component.html, HTML, 36, 0, 0, 0, 0, 0, 0, 4, 40
app\app.component.spec.ts, TypeScript, 0, 65, 0, 0, 0, 0, 1, 4, 70
app\app.component.ts, TypeScript, 0, 19, 0, 0, 0, 0, 1, 2, 22
app\app.module.ts, TypeScript, 0, 76, 0, 0, 0, 0, 0, 6, 82
app\auth.service.spec.ts, TypeScript, 0, 20, 0, 0, 0, 0, 0, 9, 29
app\auth.service.ts, TypeScript, 0, 23, 0, 0, 0, 0, 1, 7, 31
app\dashboard\dashboard.component.css, CSS, 0, 0, 0, 6, 0, 0, 0, 1, 7
app\dashboard\dashboard.component.html, HTML, 58, 0, 0, 0, 0, 0, 0, 6, 64
app\dashboard\dashboard.component.spec.ts, TypeScript, 0, 76, 0, 0, 0, 0, 1, 6, 83
app\dashboard\dashboard.component.ts, TypeScript, 0, 73, 0, 0, 0, 0, 0, 5, 78
app\entity\content.ts, TypeScript, 0, 10, 0, 0, 0, 0, 0, 1, 11
app\entity\info.ts, TypeScript, 0, 28, 0, 0, 0, 0, 0, 2, 30
app\entity\transaction.ts, TypeScript, 0, 9, 0, 0, 0, 0, 0, 0, 9
app\entity\user.ts, TypeScript, 0, 15, 0, 0, 0, 0, 0, 1, 16
app\file.service.spec.ts, TypeScript, 0, 15, 0, 0, 0, 0, 0, 4, 19
app\file.service.ts, TypeScript, 0, 27, 0, 0, 0, 0, 9, 5, 41
app\info-statistic\info-statistic.component.css, CSS, 0, 0, 0, 56, 0, 0, 0, 9, 65
app\info-statistic\info-statistic.component.html, HTML, 44, 0, 0, 0, 0, 0, 0, 6, 50
app\info-statistic\info-statistic.component.spec.ts, TypeScript, 0, 98, 0, 0, 0, 0, 1, 5, 104
app\info-statistic\info-statistic.component.ts, TypeScript, 0, 598, 0, 0, 0, 0, 0, 10, 608
app\info.service.spec.ts, TypeScript, 0, 17, 0, 0, 0, 0, 0, 6, 23
app\info.service.ts, TypeScript, 0, 149, 0, 0, 0, 0, 14, 19, 182
app\info\buy-info\buy-info.component.css, CSS, 0, 0, 0, 31, 0, 0, 0, 7, 38
app\info\buy-info\buy-info.component.html, HTML, 49, 0, 0, 0, 0, 0, 0, 2, 51
app\info\buy-info\buy-info.component.spec.ts, TypeScript, 0, 86, 0, 0, 0, 0, 1, 7, 94
app\info\buy-info\buy-info.component.ts, TypeScript, 0, 79, 0, 0, 0, 0, 0, 8, 87
app\info\info.component.css, CSS, 0, 0, 0, 22, 0, 0, 0, 2, 24
app\info\info.component.html, HTML, 52, 0, 0, 0, 0, 0, 16, 3, 71
app\info\info.component.spec.ts, TypeScript, 0, 83, 0, 0, 0, 0, 1, 7, 91
app\info\info.component.ts, TypeScript, 0, 55, 0, 0, 0, 0, 0, 4, 59
app\info\infocom.service.spec.ts, TypeScript, 0, 9, 0, 0, 0, 0, 0, 4, 13
app\info\infocom.service.ts, TypeScript, 0, 29, 0, 0, 0, 0, 0, 1, 30
app\info\sell-info\sell-info.component.css, CSS, 0, 0, 0, 31, 0, 0, 0, 7, 38
app\info\sell-info\sell-info.component.html, HTML, 49, 0, 0, 0, 0, 0, 0, 2, 51
app\info\sell-info\sell-info.component.spec.ts, TypeScript, 0, 87, 0, 0, 0, 0, 1, 6, 94
app\info\sell-info\sell-info.component.ts, TypeScript, 0, 79, 0, 0, 0, 0, 0, 9, 88
app\infodetail\infodetail.component.css, CSS, 0, 0, 0, 41, 0, 0, 0, 4, 45
app\infodetail\infodetail.component.html, HTML, 103, 0, 0, 0, 0, 0, 0, 4, 107
app\infodetail\infodetail.component.spec.ts, TypeScript, 0, 86, 0, 0, 0, 0, 2, 9, 97
app\infodetail\infodetail.component.ts, TypeScript, 0, 140, 0, 0, 0, 0, 0, 7, 147
app\inmemory-data.service.spec.ts, TypeScript, 0, 13, 0, 0, 0, 0, 0, 5, 18
app\inmemory-data.service.ts, TypeScript, 0, 34, 0, 0, 0, 0, 0, 1, 35
app\login\login.component.css, CSS, 0, 0, 0, 28, 0, 0, 0, 4, 32
app\login\login.component.html, HTML, 12, 0, 0, 0, 0, 0, 24, 2, 38
app\login\login.component.spec.ts, TypeScript, 0, 73, 0, 0, 0, 0, 1, 4, 78
app\login\login.component.ts, TypeScript, 0, 27, 0, 0, 0, 0, 1, 8, 36
app\transaction.service.spec.ts, TypeScript, 0, 16, 0, 0, 0, 0, 0, 4, 20
app\transaction.service.ts, TypeScript, 0, 69, 0, 0, 0, 0, 10, 8, 87
app\user.service.spec.ts, TypeScript, 0, 20, 0, 0, 0, 0, 1, 4, 25
app\user.service.ts, TypeScript, 0, 50, 0, 0, 0, 0, 13, 11, 74
app\user\user.component.css, CSS, 0, 0, 0, 41, 0, 0, 0, 3, 44
app\user\user.component.html, HTML, 64, 0, 0, 0, 0, 0, 0, 5, 69
app\user\user.component.spec.ts, TypeScript, 0, 88, 0, 0, 0, 0, 1, 6, 95
