Date : 2019-09-09 04:30:08
Directory : d:\SJTU-jiaojiao\admin-frontend\src
Total : 89 files,  4837 codes, 323 comments, 496 blanks, all 5656 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |         56 |      3,289 |        164 |        318 |      3,771 |
| HTML       |         14 |        712 |         40 |         48 |        800 |
| CSS        |         14 |        403 |          1 |         55 |        459 |
| Less       |          1 |        360 |        113 |         71 |        544 |
| JSON       |          3 |         44 |          3 |          2 |         49 |
| JavaScript |          1 |         29 |          2 |          2 |         33 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                   |         89 |      4,837 |        323 |        496 |      5,656 |
| app                                                 |         77 |      4,360 |        134 |        398 |      4,892 |
| app\info-statistic                                  |          4 |        796 |          1 |         30 |        827 |
| app\info                                            |         14 |        741 |         19 |         69 |        829 |
| app\infodetail                                      |          4 |        370 |          2 |         24 |        396 |
| app\userdetail                                      |          4 |        339 |          1 |         29 |        369 |
| app\info\sell-info                                  |          4 |        246 |          1 |         24 |        271 |
| app\info\buy-info                                   |          4 |        245 |          1 |         24 |        270 |
| app\user                                            |          4 |        244 |          8 |         21 |        273 |
| app\activity                                        |          4 |        234 |          1 |         16 |        251 |
| app\dashboard                                       |          4 |        213 |          1 |         18 |        232 |
| app\activitydetail                                  |          4 |        211 |          1 |         17 |        229 |
| app\website                                         |          4 |        160 |          3 |         19 |        182 |
| app\login                                           |          4 |        140 |         26 |         18 |        184 |
| app\entity                                          |          4 |         62 |          0 |          4 |         66 |
| app\Formatter                                       |          1 |         15 |          0 |          1 |         16 |
| environments                                        |          2 |          6 |         11 |          4 |         21 |
+-----------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                            | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------+------------+------------+------------+------------+------------+
| app\Formatter\format.ts                             | TypeScript |         15 |          0 |          1 |         16 |
| app\activity.service.spec.ts                        | TypeScript |          9 |          0 |          4 |         13 |
| app\activity.service.ts                             | TypeScript |         50 |         10 |          9 |         69 |
| app\activity\activity.component.css                 | CSS        |         38 |          0 |          5 |         43 |
| app\activity\activity.component.html                | HTML       |         72 |          0 |          2 |         74 |
| app\activity\activity.component.spec.ts             | TypeScript |         70 |          1 |          7 |         78 |
| app\activity\activity.component.ts                  | TypeScript |         54 |          0 |          2 |         56 |
| app\activitydetail\activitydetail.component.css     | CSS        |         38 |          0 |          5 |         43 |
| app\activitydetail\activitydetail.component.html    | HTML       |         65 |          0 |          0 |         65 |
| app\activitydetail\activitydetail.component.spec.ts | TypeScript |         72 |          1 |          7 |         80 |
| app\activitydetail\activitydetail.component.ts      | TypeScript |         36 |          0 |          5 |         41 |
| app\app-routing.module.ts                           | TypeScript |         31 |          0 |          3 |         34 |
| app\app.component.css                               | CSS        |         23 |          0 |          2 |         25 |
| app\app.component.html                              | HTML       |         36 |          0 |          4 |         40 |
| app\app.component.spec.ts                           | TypeScript |         65 |          1 |          4 |         70 |
| app\app.component.ts                                | TypeScript |         19 |          1 |          2 |         22 |
| app\app.module.ts                                   | TypeScript |         76 |          0 |          6 |         82 |
| app\auth.service.spec.ts                            | TypeScript |         20 |          0 |          9 |         29 |
